iter	Logloss
0	0.6253801469
1	0.5672923317
2	0.5162180478
3	0.475713302
4	0.4411336525
5	0.4152544353
6	0.3914591517
7	0.3699492501
8	0.3505903462
9	0.3326386906
10	0.3166420527
11	0.3047698657
12	0.2934415339
13	0.2836654411
14	0.2752010871
15	0.2669063808
16	0.2601675576
17	0.2535765422
18	0.2482631757
19	0.2429613362
20	0.2386873047
21	0.2351371044
22	0.2303747093
23	0.2265017933
24	0.2224115007
25	0.2193899276
26	0.2162087502
27	0.2131493654
28	0.2107612454
29	0.2084212819
30	0.206404626
31	0.2046482855
32	0.2030152951
33	0.2009384043
34	0.1996610859
35	0.1981343184
36	0.1970321915
37	0.1958204177
38	0.1946480473
39	0.1935581767
40	0.1919847794
41	0.1907781974
42	0.189880942
43	0.1883287559
44	0.1874581832
45	0.1863859658
46	0.1852444585
47	0.1840611235
48	0.1830321141
49	0.1823824149
50	0.181955461
51	0.1811021119
52	0.1801287398
53	0.1791773545
54	0.178544662
55	0.1777327558
56	0.1771343309
57	0.1762094278
58	0.1754126209
59	0.1748799878
60	0.1741149806
61	0.1733651514
62	0.1729856129
63	0.1720265777
64	0.1714269732
65	0.1706550808
66	0.1697285038
67	0.1691362203
68	0.1684912062
69	0.1680967338
70	0.1675221916
71	0.1671912475
72	0.1666840678
73	0.1662246011
74	0.1657167468
75	0.1651040785
76	0.164700427
77	0.1642753125
78	0.1638934088
79	0.1635902047
80	0.1630338494
81	0.1624443709
82	0.1620645453
83	0.1615352754
84	0.1611544067
85	0.1606905472
86	0.1602776629
87	0.1597693796
88	0.159427385
89	0.1589946684
90	0.1583960186
91	0.1580950794
92	0.1577131382
93	0.1572128942
94	0.1568048495
95	0.1566075363
96	0.1561843266
97	0.1559292469
98	0.1554242022
99	0.1552116297
100	0.1549979137
101	0.1544871926
102	0.1541196708
103	0.153796012
104	0.1531531048
105	0.1527805276
106	0.1524119003
107	0.1520477303
108	0.1517122305
109	0.1512608855
110	0.1510627647
111	0.1506757912
112	0.1503598391
113	0.1500628501
114	0.149739491
115	0.1493306275
116	0.1491613024
117	0.1487614991
118	0.1484224932
119	0.1482161078
120	0.1479393133
121	0.1477051177
122	0.147349883
123	0.1470066964
124	0.1467000941
125	0.1464121651
126	0.1462043001
127	0.145887398
128	0.145610005
129	0.1451201114
130	0.1447480365
131	0.1444024638
132	0.1440761079
133	0.1437747678
134	0.1434990417
135	0.1431000564
136	0.1428366854
137	0.1424468442
138	0.1421994201
139	0.1420860033
140	0.1417409675
141	0.1413463732
142	0.1411838882
143	0.1406980221
144	0.1403483223
145	0.1400533371
146	0.139785315
147	0.1393577674
148	0.1392341039
149	0.1389537392
150	0.1387023254
151	0.1384014662
152	0.1381805521
153	0.1377530474
154	0.1375125103
155	0.1372749348
156	0.1370514689
157	0.1368570375
158	0.1366784372
159	0.1364258024
160	0.1361447609
161	0.1360046422
162	0.1358592028
163	0.1356233566
164	0.1352685279
165	0.1350147613
166	0.1347642166
167	0.1346031276
168	0.1344598156
169	0.1342259296
170	0.1341064333
171	0.1338324515
172	0.1336418563
173	0.1334280046
174	0.1332067412
175	0.1330467597
176	0.1329315168
177	0.1327703826
178	0.1326488227
179	0.1323748832
180	0.1321515277
181	0.1318939839
182	0.1317104086
183	0.1314930551
184	0.1312575447
185	0.1310985225
186	0.1310150678
187	0.1307510319
188	0.1305378019
189	0.1304233632
190	0.1301834073
191	0.1299484461
192	0.1297486898
193	0.1295611656
194	0.1293423542
195	0.1291805462
196	0.1290267144
197	0.1287772357
198	0.1284805063
199	0.1282747013
200	0.1280143482
201	0.1278687175
202	0.1276586174
203	0.1275440844
204	0.1273895163
205	0.127147382
206	0.1269009937
207	0.1268155411
208	0.1265707258
209	0.1263882934
210	0.126178473
211	0.1259944508
212	0.1257680448
213	0.1256153382
214	0.1253701948
215	0.1251754378
216	0.1250616076
217	0.1248717585
218	0.1247602466
219	0.1245137023
220	0.1243172726
221	0.1240818293
222	0.1238888608
223	0.1236828336
224	0.1234906601
225	0.123246331
226	0.1229943929
227	0.1227846429
228	0.1225631766
229	0.1223151903
230	0.1221274871
231	0.1218982981
232	0.1217207889
233	0.1214232734
234	0.1211726662
235	0.1209236604
236	0.1207348154
237	0.1205239108
238	0.1203523866
239	0.1201429945
240	0.1199662959
241	0.1196624324
242	0.1194931535
243	0.1192817072
244	0.1191520765
245	0.1189023278
246	0.1188248102
247	0.1186683363
248	0.1185274138
249	0.118381501
